Contestant,Date of Birth,Age,Hometown,Season,Finish,Days Lasted,Votes Against,Tribal Wins,Individual Wins,Total Wins,Ethnicity,Gender
Sonja Christopher,"January 28, 1937 (1937-01-28) (age 85)",63,"Walnut Creek, CA",Borneo,16,3,4,0,N/A,0,Caucasian,W
B.B. Andersen,"January 18, 1936 (age 77)",64,"Mission Hills, KS",Borneo,15,6,6,2,N/A,2,Caucasian,W
Stacey Stillman,"August 11, 1972 (1972-08-11) (age 49)",27,"San Francisco, CA",Borneo,14,9,6,2,N/A,2,Caucasian,W
Ramona Gray,"January 20, 1971 (1971-01-20) (age 51)",29,"Edison, NJ",Borneo,13,12,6,3,N/A,3,African- American,W
Dirk Been,"June 15, 1976 (1976-06-15) (age 45)",23,"Spring Green, WI",Borneo,12,15,4,4,N/A,4,Caucasian,M
Joel Klug,"April 13, 1972 (1972-04-13) (age 50)",27,"Sherwood, AR",Borneo,11,18,4,6,N/A,6,Caucasian,M
Gretchen Cordy,"February 7, 1962 (1962-02-07) (age 60)",38,"Clarksville, TN",Borneo,10,21,4,6,0,6,Caucasian,W
Greg Buis,"December 31, 1975 (1975-12-31) (age 46)",24,"Gold Hill, CO",Borneo,9,24,6,6,2,8,Caucasian,M
Jenna Lewis,"July 16, 1977 (1977-07-16) (age 44)",22,"Franklin, NH",Borneo,8,27,11,6,0,6,Caucasian,W
Gervase Peterson,"November 2, 1969 (1969-11-02) (age 52)",30,"Willingboro, NJ",Borneo,7,30,6,6,2,8,African- American,M
Colleen Haskell,"December 6, 1976 (1976-12-06) (age 45)",23,"Miami Beach, FL",Borneo,6,33,7,6,2,8,Caucasian,W
Sean Kenniff,"November 27, 1969 (1969-11-27) (age 52)",30,"Carle Place, NY",Borneo,5,36,9,5,1,6,Caucasian,M
Susan Hawk,"August 17, 1961 (1961-08-17) (age 60)",38,"Palmyra, WI",Borneo,4,37,7,5,0,5,Caucasian,W
Rudy Boesch,"January 20, 1928 (age 91)",72,"Virginia Beach, VA",Borneo,3,38,8,5,1,6,Caucasian,M
Kelly Wiglesworth,"June 24, 1977 (1977-06-24) (age 44)",22,"Kernville, CA",Borneo,2,39,0,5,5,10,Caucasian,W
Richard Hatch,"April 8, 1961 (1961-04-08) (age 61)",38,"Newport, RI",Borneo,1,39,6,5,1,6,Caucasian,M
Debb Eaton,"June 11, 1955 (1955-06-11) (age 66)",45,"Milan, NH",The Australian Outback,16,3,7,0,N/A,0,Caucasian,W
Kel Gleason,"January 5, 1968 (1968-01-05) (age 54)",32,"Ford Hood, TX",The Australian Outback,15,6,7,2,N/A,2,Latin- American,M
Maralyn Hershey,"January 24, 1949 (1949-01-24) (age 73)",51,"Wakefield, VA",The Australian Outback,14,9,5,3,N/A,3,Caucasian,W
Mitchell Olson,"March 17, 1977 (1977-03-17) (age 45)",23,"Union City, NJ",The Australian Outback,13,12,6,3,N/A,3,Caucasian,M
Kimmi Kappenberg,"November 11, 1972 (1972-11-11) (age 49)",27,"Ronkonkoma, NY",The Australian Outback,12,15,6,5,N/A,5,Caucasian,W
Michael Skupin,"January 29, 1962 (1962-01-29) (age 60)",38,"White Lake, MI",The Australian Outback,11,17,0,6,N/A,6,Caucasian,M
Jeff Varner,"April 16, 1966 (1966-04-16) (age 56)",34,"New York City, NY",The Australian Outback,10,21,11,6,0,6,Caucasian,M
Alicia Calaway,"May 1, 1968 (1968-05-01) (age 53)",32,"New York City, NY",The Australian Outback,9,24,5,6,0,6,African- American,W
Jerri Manthey,"September 5, 1970 (1970-09-05) (age 51)",30,"Los Angeles, CA",The Australian Outback,8,27,12,4,2,6,Caucasian,W
Nick Brown,"April 2, 1977 (1977-04-02) (age 45)",23,"Steilacoom, WA",The Australian Outback,7,30,4,6,1,7,African- American,M
Amber Brkich,"August 11, 1978 (1978-08-11) (age 43)",22,"Beaver, PA",The Australian Outback,6,33,6,4,0,4,Caucasian,W
Rodger Bingham,"July 5, 1947 (1947-07-05) (age 74)",53,"Crittenden, KY",The Australian Outback,5,36,5,6,0,6,Caucasian,M
Elisabeth Filarski,"May 28, 1977 (1977-05-28) (age 44)",23,"Newton, MA",The Australian Outback,4,39,5,6,0,6,Caucasian,W
Keith Famie,"February 11, 1960 (1960-02-11) (age 62)",40,"West Bloomfield, MI",The Australian Outback,3,41,10,4,2,6,Caucasian,M
Colby Donaldson,"April 1, 1974 (1974-04-01) (age 48)",26,"Dallas, TX",The Australian Outback,2,42,9,4,8,12,Caucasian,M
Tina Wesson,"December 26, 1960 (1960-12-26) (age 61)",39,"Knoxville, TN",The Australian Outback,1,42,0,4,1,5,Caucasian,W
Diane Ogden,"April 27, 1959 (1959-04-27) (age 63)",42,"Lincoln, NE",Africa,16,3,6,0,N/A,0,Caucasian,W
Jessie Camacho,"September 24, 1974 (1974-09-24) (age 47)",26,"Orlando, FL",Africa,15,6,5,0,N/A,0,Latin- American,W
Carl Bilancione,"June 20, 1955 (1955-06-20) (age 66)",46,"Winter Springs, FL",Africa,14,9,7,3,N/A,3,Caucasian,M
Linda Spencer,"January 1, 1957 (1957-01-01) (age 65)",44,"Boston, MA",Africa,13,12,4,4,N/A,4,Caucasian,W
Silas Gaither,"January 28, 1978 (1978-01-28) (age 44)",23,"Los Angeles, CA",Africa,12,15,8,5,N/A,5,Caucasian,M
Lindsey Richter,"August 31, 1974 (1974-08-31) (age 47)",26,"Portland, OR",Africa,11,18,12,6,N/A,6,Caucasian,W
Clarence Black,"December 21, 1976 (1976-12-21) (age 45)",24,"Detroit, MI",Africa,10,21,12,5,0,5,African- American,M
Kelly Goldsmith,"April 27, 1979 (1979-04-27) (age 43)",22,"San Diego, CA",Africa,9,24,5,5,0,5,Caucasian,W
Brandon Quinton,"January 22, 1976 (1976-01-22) (age 46)",25,"Dallas, TX",Africa,8,27,6,6,1,7,Caucasian,M
Frank Garrison,"July 22, 1958 (1958-07-22) (age 63)",42,"Odessa, NY",Africa,7,30,9,6,1,7,Caucasian,M
Kim Powers,"December 3, 1971 (1971-12-03) (age 50)",29,"Conshohocken, PA",Africa,6,33,4,6,0,6,Caucasian,W
Teresa Cooper,"May 5, 1959 (1959-05-05) (age 62)",42,"Jackson, GA",Africa,5,36,4,6,1,7,Caucasian,W
Tom Buchanan,"October 30, 1955 (1955-10-30) (age 66)",45,"Rich Valley, VA",Africa,4,37,9,5,1,6,Caucasian,M
Lex van den Berghe,"June 18, 1963 (1963-06-18) (age 58)",38,"Santa Cruz, CA",Africa,3,38,10,5,5,10,Caucasian,M
Kim Johnson,"September 18, 1944 (1944-09-18) (age 77)",56,"Oyster Bay, NY",Africa,2,39,1,5,2,7,Caucasian,W
Ethan Zohn,"November 12, 1973 (1973-11-12) (age 48)",27,"New York City, NY",Africa,1,39,0,5,2,7,Caucasian,M
Peter Harkey,"January 17, 1956 (1956-01-17) (age 66)",45,"Millis, MA",Marquesas,16,3,5,0,N/A,0,Caucasian,M
Patricia Jackson,"April 8, 1952 (1952-04-08) (age 70)",49,"Lugoff, SC",Marquesas,15,6,5,0,N/A,0,Caucasian,W
Hunter Ellis,"July 5, 1968 (1968-07-05) (age 53)",33,"La Jolla, CA",Marquesas,14,9,4,0,N/A,0,Caucasian,M
Sarah Jones,"August 11, 1977 (1977-08-11) (age 44)",24,"Newport Beach, CA",Marquesas,13,12,11,0,N/A,0,Caucasian,W
Gabriel Cade,"July 1, 1978 (1978-07-01) (age 43)",23,"Los Angeles, CA",Marquesas,12,15,7,6,N/A,6,Caucasian,M
Gina Crews,"February 7, 1973 (1973-02-07) (age 49)",28,"Gainesville, FL",Marquesas,11,18,3,3,N/A,3,Caucasian,W
Rob Mariano,"December 25, 1975 (1975-12-25) (age 46)",25,"Canton, MA",Marquesas,10,21,8,2,0,2,Caucasian,M
John Carroll,"June 14, 1965 (1965-06-14) (age 56)",36,"Omaha, NE",Marquesas,9,24,8,7,0,7,Caucasian,M
Zoe Zanidakis,"March 17, 1966 (1966-03-17) (age 56)",35,"Monhegan Island, ME",Marquesas,8,27,8,7,0,7,Caucasian,W
Tammy Leitner,"July 3, 1972 (1972-07-03) (age 49)",29,"Mesa, AZ",Marquesas,7,30,5,7,2,9,Caucasian,W
Robert DeCanio,"June 19, 1963 (1963-06-19) (age 58)",38,"College Point, NY",Marquesas,6,33,6,7,1,8,Caucasian,M
Sean Rector,"August 20, 1971 (1971-08-20) (age 50)",30,"Los Angeles, CA",Marquesas,5,36,7,2,2,4,African- American,M
Paschal English,"March 5, 1945 (1945-03-05) (age 77)",56,"Thomaston, GA",Marquesas,4,37,0,8,2,10,Caucasian,M
Kathy Vavrick-O'Brien,"January 6, 1955 (1955-01-06) (age 67)",46,"Burlington, VT",Marquesas,3,38,5,8,4,12,Caucasian,W
Neleh Dennis,"February 19, 1980 (1980-02-19) (age 42)",21,"Layton, UT",Marquesas,2,39,4,8,1,9,Caucasian,W
Vecepia Towery,"December 9, 1965 (1965-12-09) (age 56)",35,"Hayward, CA",Marquesas,1,39,2,2,2,4,African- American,W
John Raymond,"February 21, 1962 (1962-02-21) (age 60)",40,"Slidell, LA",Thailand,16,3,6,0,N/A,0,Caucasian,M
Tanya Vance,"November 29, 1974 (1974-11-29) (age 47)",27,"Gray, TN",Thailand,15,6,5,0,N/A,0,Caucasian,W
Jed Hildebrand,"December 5, 1976 (1976-12-05) (age 45)",25,"Dallas, TX",Thailand,14,9,5,3,N/A,3,Caucasian,M
Ghandia Johnson,"January 3, 1969 (1969-01-03) (age 53)",33,"Denver, CO",Thailand,13,12,5,2,N/A,2,African- American,W
Stephanie Dill,"November 15, 1972 (1972-11-15) (age 49)",29,"Fayetteville, AR",Thailand,12,15,5,5,N/A,5,Caucasian,W
Robb Zbacnik,"September 12, 1978 (1978-09-12) (age 43)",23,"Scottsdale, AZ",Thailand,11,18,5,6,N/A,6,Caucasian,M
Shii Ann Huang,"January 24, 1974 (1974-01-24) (age 48)",28,"New York City, NY",Thailand,10,21,10,6,N/A,6,Asian- American,W
Erin Collins,"January 7, 1976 (1976-01-07) (age 46)",26,"Austin, TX",Thailand,9,24,3,6,N/A,6,Caucasian,W
Ken Stafford,"June 20, 1972 (1972-06-20) (age 49)",29,"Brooklyn, NY",Thailand,8,27,6,6,0,6,Caucasian,M
Penny Ramsey,"April 24, 1975 (1975-04-24) (age 47)",27,"Plano, TX",Thailand,7,30,5,6,0,6,Caucasian,W
Jake Billingsley,"August 21, 1941 (1941-08-21) (age 80)",60,"McKinney, TX",Thailand,6,33,7,6,0,6,Caucasian,M
"Ted Rogers, Jr.","December 28, 1964 (1964-12-28) (age 57)",37,"Durham, NC",Thailand,5,36,7,6,2,8,African- American,M
Helen Glover,"April 28, 1955 (1955-04-28) (age 67)",47,"Middletown, RI",Thailand,4,37,5,6,2,8,Caucasian,W
Jan Gentry,"October 31, 1948 (1948-10-31) (age 73)",53,"Tampa, FL",Thailand,3,38,5,6,0,6,Caucasian,W
Clay Jordan,"December 30, 1955 (1955-12-30) (age 66)",46,"Monroe, LA",Thailand,2,39,3,6,1,7,Caucasian,M
Brian Heidik,"March 9, 1968 (1968-03-09) (age 54)",34,"Quartz Hill, CA",Thailand,1,39,0,6,5,11,Caucasian,M
Ryan Aiken,"February 13, 1979 (1979-02-13) (age 43)",23,"Ellicott City, MD",The Amazon,16,3,4,0,N/A,0,Caucasian,M
Janet Koth,"November 18, 1955 (1955-11-18) (age 66)",46,"Manchester, MO",The Amazon,15,6,5,2,N/A,2,Caucasian,W
Daniel Lue,"November 29, 1975 (1975-11-29) (age 46)",26,"Houston, TX",The Amazon,14,9,7,1,N/A,1,Asian- American,M
JoAnna Ward,"April 29, 1971 (1971-04-29) (age 50)",31,"Orangeburg, SC",The Amazon,13,12,4,4,N/A,4,African- American,W
Jeanne Hebert,"January 6, 1962 (1962-01-06) (age 60)",40,"North Attleboro, MA",The Amazon,12,15,5,4,N/A,4,Caucasian,W
Shawna Mitchell,"July 28, 1979 (1979-07-28) (age 42)",23,"Los Angeles, CA",The Amazon,11,18,6,5,N/A,5,Caucasian,W
Roger Sexton,"September 26, 1946 (1946-09-26) (age 75)",56,"Valencia, CA",The Amazon,10,21,11,5,0,5,Caucasian,M
Dave Johnson,"January 16, 1979 (1979-01-16) (age 43)",23,"Pasadena, CA",The Amazon,9,24,8,5,1,6,Caucasian,M
Deena Bennett,"February 12, 1967 (1967-02-12) (age 55)",35,"Riverside, CA",The Amazon,8,27,6,5,1,6,Latin- American,W
Alex Bell,"May 16, 1970 (1970-05-16) (age 51)",32,"Los Angeles, CA",The Amazon,7,30,6,4,1,5,Caucasian,M
Christy Smith,"September 13, 1978 (1978-09-13) (age 43)",24,"Basalt, CO",The Amazon,6,33,9,6,0,6,Caucasian,W
Heidi Strobel,"October 29, 1978 (1978-10-29) (age 43)",24,"Jefferson City, MO",The Amazon,5,36,3,6,0,6,Caucasian,W
Butch Lockley,"August 28, 1952 (1952-08-28) (age 69)",50,"Olney, IL",The Amazon,4,37,5,5,0,5,Caucasian,M
Rob Cesternino,"October 20, 1978 (1978-10-20) (age 43)",24,"Wantagh, NY",The Amazon,3,38,4,4,1,5,Caucasian,M
Matthew von Ertfelda,"July 24, 1969 (1969-07-24) (age 52)",33,"Washington, DC",The Amazon,2,39,6,4,4,8,Caucasian,M
Jenna Morasca,"February 15, 1981 (1981-02-15) (age 41)",21,"Bridgeville, PA",The Amazon,1,39,3,5,4,9,Caucasian,W
Nicole Delma,"September 19, 1978 (1978-09-19) (age 43)",24,"Hermosa Beach, CA",Pearl Islands,16,4,7,1,N/A,1,Caucasian,W
Ryan Shoulders,"March 28, 1980 (1980-03-28) (age 42)",23,"Clarksville, TN",Pearl Islands,15,7,6,1,N/A,1,Caucasian,M
Michelle Tesauro,"January 16, 1981 (1981-01-16) (age 41)",22,"Washington, DC",Pearl Islands,14,16,6,7,N/A,7,Caucasian,W
Trish Dunn,"October 29, 1960 (1960-10-29) (age 61)",42,"Annapolis, MD",Pearl Islands,13,19,4,8,N/A,8,Caucasian,W
Shawn Cohen,"September 20, 1974 (1974-09-20) (age 47)",28,"Los Angeles, CA",Pearl Islands,12,19,5,7,N/A,7,Caucasian,M
Osten Taylor,"December 10, 1975 (1975-12-10) (age 46)",27,"Boston, MA",Pearl Islands,11,19,2,4,N/A,4,African- American,M
Andrew Savage,"July 29, 1963 (1963-07-29) (age 58)",39,"Chicago, IL",Pearl Islands,10,21,6,4,0,4,Caucasian,M
Ryan Opray,"August 6, 1972 (1972-08-06) (age 49)",30,"Los Gatos, CA",Pearl Islands,9,24,8,4,1,5,Caucasian,M
Rupert Boneham,"January 27, 1964 (1964-01-27) (age 58)",39,"Indianapolis, IN",Pearl Islands,8,27,7,7,3,10,Caucasian,M
Tijuana Bradley,"July 23, 1976 (1976-07-23) (age 45)",26,"St. Louis, MO",Pearl Islands,7,30,5,4,1,5,African- American,W
Christa Hastie,"November 6, 1978 (1978-11-06) (age 43)",24,"Los Angeles, CA",Pearl Islands,6,33,7,7,1,8,Caucasian,W
Burton Roberts,"April 10, 1972 (1972-04-10) (age 50)",31,"San Francisco, CA",Pearl Islands,5,30,10,7,5,12,Caucasian,M
Darrah Johnson,"May 19, 1981 (1981-05-19) (age 40)",22,"Liberty, MS",Pearl Islands,4,37,6,4,4,8,Caucasian,W
Jon Dalton,"March 11, 1974 (1974-03-11) (age 48)",29,"Los Angeles, CA",Pearl Islands,3,38,7,7,2,9,Caucasian,M
Lillian Morris,"April 3, 1952 (1952-04-03) (age 70)",51,"Loveland, OH",Pearl Islands,2,30,10,1,3,4,Caucasian,W
Sandra Diaz-Twine,"July 30, 1974 (1974-07-30) (age 47)",28,"Fort Lewis, WA",Pearl Islands,1,39,0,7,0,7,Latin- American,W
Tina Wesson,"December 26, 1960 (1960-12-26) (age 61)",42,"Knoxville, TN",All-Stars,18,3,4,0,N/A,0,Caucasian,W
Rudy Boesch,"January 20, 1928 (age 91)",75,"Virginia Beach, VA",All-Stars,17,6,3,1,N/A,1,Caucasian,M
Jenna Morasca,"February 15, 1981 (1981-02-15) (age 41)",22,"Bridgeville, PA",All-Stars,16,9,N/A,3,N/A,3,Caucasian,W
Rob Cesternino,"October 20, 1978 (1978-10-20) (age 43)",25,"Plainview, NY",All-Stars,15,12,5,4,N/A,4,Caucasian,M
Richard Hatch,"April 8, 1961 (1961-04-08) (age 61)",42,"Middletown, RI",All-Stars,14,15,6,5,N/A,5,Caucasian,M
Susan Hawk,"August 17, 1961 (1961-08-17) (age 60)",42,"Las Vegas, NV",All-Stars,13,17,0,6,N/A,6,Caucasian,W
Colby Donaldson,"April 1, 1974 (1974-04-01) (age 48)",29,"Dallas, TX",All-Stars,12,19,4,6,N/A,6,Caucasian,M
Ethan Zohn,"November 12, 1973 (1973-11-12) (age 48)",29,"New York City, NY",All-Stars,11,21,6,4,N/A,4,Caucasian,M
Jerri Manthey,"September 5, 1970 (1970-09-05) (age 51)",33,"Los Angeles, CA",All-Stars,10,24,7,4,N/A,4,Caucasian,W
Lex van den Berghe,"June 18, 1963 (1963-06-18) (age 58)",40,"Santa Cruz, CA",All-Stars,9,27,7,6,0,6,Caucasian,M
Kathy Vavrick-O'Brien,"January 6, 1955 (1955-01-06) (age 67)",48,"Burlington, VT",All-Stars,8,28,6,6,1,7,Caucasian,W
Alicia Calaway,"May 1, 1968 (1968-05-01) (age 53)",35,"New York City, NY",All-Stars,7,30,7,10,1,11,African- American,W
Shii Ann Huang,"January 24, 1974 (1974-01-24) (age 48)",29,"New York City, NY",All-Stars,6,33,5,6,2,8,Asian- American,W
Tom Buchanan,"October 30, 1955 (1955-10-30) (age 66)",48,"Rich Valley, VA",All-Stars,5,36,4,10,2,12,Caucasian,M
Rupert Boneham,"January 27, 1964 (1964-01-27) (age 58)",39,"Indianapolis, IN",All-Stars,4,37,4,8,2,10,Caucasian,M
Jenna Lewis,"July 16, 1977 (1977-07-16) (age 44)",26,"Burbank, CA",All-Stars,3,38,4,8,0,8,Caucasian,W
Rob Mariano,"December 25, 1975 (1975-12-25) (age 46)",27,"Canton, MA",All-Stars,2,39,1,10,5,15,Caucasian,M
Amber Brkich,"August 11, 1978 (1978-08-11) (age 43)",25,"Beaver, PA",All-Stars,1,39,6,10,2,12,Caucasian,W
Brook Geraghty,"November 20, 1976 (1976-11-20) (age 45)",27,"Winthrop, MA",Vanuatu,18,3,5,0,N/A,0,Caucasian,M
Dolly Neely,"November 18, 1978 (1978-11-18) (age 43)",25,"Mercer, PA",Vanuatu,17,6,5,2,N/A,2,Caucasian,W
John Palyok,"May 13, 1973 (1973-05-13) (age 48)",31,"Los Angeles, CA",Vanuatu,16,7,5,2,0,2,Caucasian,M
Mia Galeotalanza,"August 17, 1974 (1974-08-17) (age 47)",29,"Boston, MA",Vanuatu,15,7,5,2,N/A,2,Caucasian,W
Brady Finta,"December 17, 1970 (1970-12-17) (age 51)",33,"Huntington Beach, CA",Vanuatu,14,10,6,2,0,2,Caucasian,M
Travis Sampson,"February 19, 1971 (1971-02-19) (age 51)",33,"Johnson City, TN",Vanuatu,13,12,6,2,0,2,Caucasian,M
Lisa Keiffer,"May 3, 1960 (1960-05-03) (age 61)",44,"Mandeville, LA",Vanuatu,12,15,4,4,N/A,4,Caucasian,W
John Kenney,"September 26, 1981 (1981-09-26) (age 40)",22,"Los Angeles, CA",Vanuatu,11,18,5,6,1,7,Caucasian,M
Rory Freeman,"October 30, 1968 (1968-10-30) (age 53)",35,"Des Moines, IA",Vanuatu,10,21,14,4,0,4,African- American,M
Lea Masters,"March 28, 1964 (1964-03-28) (age 58)",40,"Columbia, SC",Vanuatu,9,24,7,7,1,8,Caucasian,M
Chad Crittenden,"August 8, 1969 (1969-08-08) (age 52)",34,"Oakland, CA",Vanuatu,8,27,7,7,1,8,Caucasian,M
Leann Slaby,"July 8, 1969 (1969-07-08) (age 52)",34,"Kansasville, WI",Vanuatu,7,30,8,6,1,7,Caucasian,W
Ami Cusack,"January 25, 1973 (1973-01-25) (age 49)",31,"Lakewood, CO",Vanuatu,6,33,8,6,4,10,Caucasian,W
Julie Berry,"December 15, 1980 (1980-12-15) (age 41)",23,"Gorham, ME",Vanuatu,5,36,4,9,1,10,Caucasian,W
Eliza Orlins,"December 25, 1982 (1982-12-25) (age 39)",21,"Syracuse, NY",Vanuatu,4,37,9,6,4,10,Caucasian,W
Scout Cloud Lee,"November 8, 1944 (1944-11-08) (age 77)",59,"Stillwater, OK",Vanuatu,3,38,3,6,0,6,Caucasian,W
Twila Tanner,"October 12, 1962 (1962-10-12) (age 59)",41,"Marshall, MO",Vanuatu,2,39,6,9,1,10,Caucasian,W
Chris Daugherty,"August 29, 1970 (1970-08-29) (age 51)",33,"South Vienna, OH",Vanuatu,1,39,3,7,5,12,Caucasian,M
Jonathan Libby,"September 5, 1981 (1981-09-05) (age 40)",23,"Dallas, TX",Palau,20,2,N/A,N/A,0,0,Caucasian,M
Wanda Shirk,"August 24, 1949 (1949-08-24) (age 72)",55,"Ulysses, PA",Palau,19,2,N/A,N/A,0,0,Caucasian,W
Jolanda Jones,"November 6, 1965 (1965-11-06) (age 56)",38,"Houston, TX",Palau,18,3,6,0,1,1,African- American,W
Ashlee Ashby,"May 2, 1982 (1982-05-02) (age 39)",22,"Easley, SC",Palau,17,6,6,1,0,1,Caucasian,W
Jeff Wilson,"February 9, 1983 (1983-02-09) (age 39)",21,"Ventura, CA",Palau,16,8,5,2,0,2,Caucasian,M
Kim Mullen,"March 13, 1979 (1979-03-13) (age 43)",25,"Huber Heights, OH",Palau,15,11,8,2,0,2,Caucasian,W
Willard Smith,"November 30, 1947 (1947-11-30) (age 74)",56,"Bellevue, WA",Palau,14,12,8,6,0,6,Caucasian,M
Angie Jakusz,"March 27, 1980 (age 40)",24,"New Orleans, LA",Palau,13,12,8,2,0,2,Caucasian,W
James Miller,"July 8, 1971 (1971-07-08) (age 50)",33,"Mobile, AL",Palau,12,15,7,3,0,3,Caucasian,M
Ibrehem Rahman,"March 4, 1977 (1977-03-04) (age 45)",27,"Birmingham, AL",Palau,11,18,4,3,0,3,African- American,M
Bobby Jon Drinkard,"May 10, 1977 (1977-05-10) (age 44)",27,"Los Angeles, CA",Palau,10,21,2,3,0,3,Caucasian,M
Coby Archa,"September 8, 1972 (1972-09-08) (age 49)",32,"Athens, TX",Palau,9,24,7,11,0,11,Caucasian,M
Janu Tornell,"May 9, 1965 (1965-05-09) (age 56)",39,"Las Vegas, NV",Palau,8,27,1,11,1,12,Latin- American,W
Stephenie LaGrossa,"December 6, 1979 (1979-12-06) (age 42)",24,"Tom's River, NJ",Palau,7,30,8,3,0,3,Caucasian,W
Gregg Carey,"January 9, 1977 (1977-01-09) (age 45)",27,"Chicago, IL",Palau,6,33,4,11,2,13,Caucasian,M
Caryn Groedel,"August 13, 1958 (1958-08-13) (age 63)",46,"Solon, OH",Palau,5,36,7,11,1,12,Caucasian,W
Jenn Lyon,"February 27, 1972 (age 37)",32,"Encino, CA",Palau,4,37,3,11,0,11,Caucasian,W
Ian Rosenberger,"August 24, 1981 (1981-08-24) (age 40)",23,"Ambridge, PA",Palau,3,38,5,11,4,15,Caucasian,M
Katie Gallagher,"May 28, 1975 (1975-05-28) (age 46)",29,"Merced, CA",Palau,2,39,1,11,0,11,Caucasian,W
Tom Westman,"January 4, 1964 (1964-01-04) (age 58)",40,"Sayville, NY",Palau,1,39,0,11,6,17,Caucasian,M
Jim Lynch,"January 7, 1942 (1942-01-07) (age 80)",63,"Northglenn, CO",Guatemala,18,3,8,1,N/A,1,Caucasian,M
Morgan McDevitt,"November 24, 1983 (1983-11-24) (age 38)",21,"Decatur, IL",Guatemala,17,6,8,1,N/A,1,Caucasian,W
Brianna Varela,"October 29, 1983 (1983-10-29) (age 38)",21,"Edmonds, WA",Guatemala,16,8,7,1,N/A,1,Latin- American,W
Brooke Struck,"July 30, 1979 (1979-07-30) (age 42)",25,"Hood River, OR",Guatemala,15,11,5,5,N/A,5,Caucasian,W
Blake Towsley,"May 5, 1981 (1981-05-05) (age 40)",24,"Dallas, TX",Guatemala,14,14,5,7,N/A,7,Caucasian,M
Margaret Bobonich,"June 5, 1962 (1962-06-05) (age 59)",43,"Chardon, OH",Guatemala,13,15,7,7,0,7,Caucasian,W
Brian Corridan,"February 10, 1983 (1983-02-10) (age 39)",22,"New York City, NY",Guatemala,12,15,7,3,N/A,3,Caucasian,M
Amy O'Hara,"November 2, 1965 (1965-11-02) (age 56)",39,"Revere, MA",Guatemala,11,18,4,4,N/A,4,Caucasian,W
Brandon Bellinger,"January 22, 1983 (1983-01-22) (age 39)",22,"Manhattan, KS",Guatemala,10,21,6,8,0,8,Caucasian,M
Bobby Jon Drinkard,"May 10, 1977 (1977-05-10) (age 44)",28,"Los Angeles, CA",Guatemala,9,24,8,8,0,8,Caucasian,M
Jamie Newton,"January 26, 1981 (1981-01-26) (age 41)",24,"North Hollywood, CA",Guatemala,8,27,10,4,1,5,Caucasian,M
Gary Hogeboom,"August 21, 1958 (1958-08-21) (age 63)",46,"Grand Haven, MI",Guatemala,7,30,8,4,2,6,Caucasian,M
Judd Sergeant,"September 13, 1970 (1970-09-13) (age 51)",34,"Ridgefield, NJ",Guatemala,6,33,5,8,2,10,Caucasian,M
Cindy Hall,"June 28, 1974 (1974-06-28) (age 47)",30,"Naples, FL",Guatemala,5,36,6,8,2,10,Caucasian,W
Lydia Morales,"January 19, 1963 (1963-01-19) (age 59)",42,"Lakewood, WA",Guatemala,4,37,10,4,0,4,Latin- American,W
Rafe Judkins,"January 8, 1983 (1983-01-08) (age 39)",22,"Providence, RI",Guatemala,3,38,2,4,4,8,Caucasian,M
Stephenie LaGrossa,"December 6, 1979 (1979-12-06) (age 42)",25,"Tom's River, NJ",Guatemala,2,39,2,4,2,6,Caucasian,W
Danni Boatwright,"July 13, 1975 (1975-07-13) (age 46)",29,"Tonganozie, KS",Guatemala,1,39,1,8,3,11,Caucasian,W
Tina Scheer,"November 17, 1960 (1960-11-17) (age 61)",44,"Hayward, WI",Panama,16,3,3,1,N/A,1,Caucasian,W
Melinda Hyder,"May 23, 1973 (1973-05-23) (age 48)",32,"Sevierville, TN",Panama,15,6,5,1,N/A,1,Caucasian,W
Misty Giles,"February 25, 1981 (1981-02-25) (age 41)",24,"Dallas, TX",Panama,14,8,5,4,N/A,4,Caucasian,W
Ruth Marie Milliman,"April 11, 1957 (1957-04-11) (age 65)",48,"Greenville, SC",Panama,13,11,6,4,N/A,4,Caucasian,W
Bobby Mason,"August 20, 1973 (1973-08-20) (age 48)",32,"Los Angeles, CA",Panama,12,14,3,6,N/A,6,African- American,M
